epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.266,1.39652,3.89646,1.65095,0.00762,0.71746,0.13502,0.08933,1.20058,4.3964,1.56172,0.000297283,0.000297283,0.000297283
2,659.472,1.43673,3.40037,1.66548,0.57839,0.31497,0.15394,0.08463,1.41007,4.08197,1.77008,0.00059434,0.00059434,0.00059434
3,973.512,1.46358,3.16266,1.67735,0.27693,0.33827,0.22848,0.13492,1.51825,3.75442,1.88854,0.000885398,0.000885398,0.000885398
4,1295.5,1.48073,3.03744,1.66307,0.38443,0.38939,0.24889,0.12077,1.59597,4.99788,1.91216,0.000882003,0.000882003,0.000882003
5,1661.77,1.42224,2.74826,1.61208,0.6175,0.28923,0.35187,0.19701,1.75553,3.80941,2.28282,0.000873004,0.000873004,0.000873004
6,1987.74,1.44767,2.76803,1.61813,0.29434,0.41213,0.32264,0.18909,1.70175,3.71312,2.09265,0.000864004,0.000864004,0.000864004
7,2264.73,1.44812,2.75221,1.677,0.29996,0.36132,0.29143,0.13462,1.48499,3.62765,1.92685,0.000855005,0.000855005,0.000855005
8,2536.67,1.42038,2.56485,1.59092,0.39117,0.29186,0.29502,0.11744,1.51952,4.00221,1.83872,0.000846006,0.000846006,0.000846006
9,2842.48,1.38415,2.51509,1.56636,0.58444,0.43227,0.48442,0.24862,1.44161,2.93353,1.76801,0.000837007,0.000837007,0.000837007
10,3188.66,1.46282,2.4736,1.6003,0.37489,0.51874,0.44542,0.23372,1.54862,3.60291,1.88022,0.000828008,0.000828008,0.000828008
11,3594.62,1.37621,2.39757,1.5673,0.44819,0.41599,0.34982,0.20611,1.35158,2.94671,1.7269,0.000819009,0.000819009,0.000819009
12,3971.1,1.30756,2.25628,1.54057,0.41745,0.41678,0.40668,0.22812,1.5208,3.0281,1.82778,0.00081001,0.00081001,0.00081001
13,4425.03,1.30302,2.22966,1.54512,0.55558,0.41284,0.37871,0.22109,1.45999,3.18881,1.79916,0.000801011,0.000801011,0.000801011
